,BoliInfectioase,Tuberculoza,Tumori,BoliEndocrine,Diabet,TulbMentale,SistNervORL,ApCirculator,BoalaIschemica,BoliCerebroVasculare,BRespiratorii,BDigestive,BGenitoUrinar,SarcinaNastere,MalfCongenitale,Accidente,AlteCauze
 Galati,-0.29659415622371144,2.1348404493291895,0.2953779130798447,-0.11695345748664117,-0.0632004090260504,-0.4889436712493501,1.2776362499708418,-0.10856297219979069,1.4429825746866394,-0.8812695791401562,0.1541795757767702,1.6492752050933481,0.20930589557566256,-4.751550926255092e-16,-0.11618729666271253,1.6116008979333227,0.5659147520579797
 Giurgiu,-0.26681371484162353,-0.006520802834008404,0.29282496642308564,-0.38690334410592225,-0.43997997345174383,-0.5549421235508917,0.6878002221166345,1.6451742784479964,-0.10261453835836273,1.2287316409515416,-0.3028456072509063,0.384550113626456,-1.0624247622350729,-4.751550926255092e-16,0.7321041792191433,0.2687711155323056,-1.3889988816375
 Gorj,-1.0389391156835988,-1.2288967423642465,-0.30186928802762064,-0.015667193843238614,0.06675873898341708,-0.4770417269896686,-1.1530260709282096,-0.013031312150123315,-0.07318181036107527,1.4743768792758856,-0.984679837842911,0.0008667574165798032,0.7184869155746509,1.214297326076987,-0.9211130697344185,-0.36248740711767546,-1.4990963089877376
 Harghita,0.306662351450091,3.622084286072437e-16,-0.05836567656052731,-0.673349925531514,-0.6167564143119372,0.0,-0.9296030811630822,-0.6802346685826766,0.30579086448656817,-0.7226763960468495,-0.023379043155529973,-1.190909199587353,-0.1449808512353522,1.42782935954702,1.2158218898690867,1.718516933042505,0.3308542076301301
 Hunedoara,-0.452142501100343,2.36927536795327,1.7858825275805181,0.6095215814091781,0.6383013869855666,-0.5111410197414487,-0.0002087178855167576,0.7641972487353574,1.2986071060689577,0.5573504039915164,-0.16455624646674621,-0.07366014572589276,-1.358094224242553,-4.751550926255092e-16,-1.7972463577438575,0.7248236432852804,-1.6664948026300674
 Ialomita,-0.7849435044005343,-1.2097025304379525,1.1894123267507515,-0.107032377331665,-0.08062218679637671,0.036979233046216135,-0.19615456953646399,0.9371162704480697,-0.10343583789559689,0.9902900035346338,-0.6280929713615093,-0.17127149307849107,-0.5237049137260525,-4.751550926255092e-16,-1.6331903924688111,0.04053093492411593,-0.1056263642521042
 Iasi,1.831676037036023,-0.41386363688960226,-0.4968021175835129,-0.14397760771846504,-0.106829265339519,-0.3276596103065671,1.1906948040041039,-1.5811339912597955,-2.227000710784113,-1.2258726796667567,-0.6603643759315787,-0.34612815021248683,-0.6724515160972142,-2.0815607085144503,-1.1724325672917872,0.5107403391525774,-0.2913691549323253
 Ilfov,-0.3149098952928341,-0.9179185192842526,-2.369105079100109,-0.883331344554856,-0.8916711887189263,-0.35965016283782825,-0.745776584894889,-1.9347222556773234,-1.1258034288948693,-1.5712213033814073,-1.6635096998595478,-1.7609154000882177,-0.9218075806791993,-0.7190512904768571,-1.0890560891673386,-2.03051075555541,-1.440133647263852
 Maramures,-0.28260990630417504,-0.5004603041971527,-1.0728526256196345,-0.1878180370817574,-0.4152295948090313,0.11485465764430522,0.02863397862261472,-0.8369168835979383,0.13598290151866227,-0.4101423492836759,-0.47680718442542097,0.7326572879082158,-0.2673066304446165,-4.751550926255092e-16,0.8924986600621876,-0.6244313228853574,1.6896365920138285
 Mehedinti,-0.6131564613205772,0.8779710157243209,-0.1513368490188892,-1.100867791306952,-1.0222311136698776,0.0,-1.492808951853248,1.473429326871699,0.22221000201617705,0.6588178265258171,0.10076607653481315,0.18322713174089533,0.9444027659899934,-4.751550926255092e-16,-0.5511862351811666,-0.4051859427978586,-0.0021556414357358773
 Municipiul Bucuresti,1.0861997420499434,-0.6948816857997717,0.00041652870056202603,-0.7252650492387989,-0.7617405073583777,-0.4716791265941116,-0.7721444795468848,-0.6820535671113398,-0.21710417008627866,-0.327640180464087,-0.678510993621119,-0.9313158847419603,-0.2343435611198346,-3.3063810653682952,-0.9561821371915533,-1.609961554682258,-0.23935452144789493
 Mures,0.0030658492615982433,-0.17656789706320297,1.103378578140419,0.28228468074516416,0.2593176597949674,-0.387474235351222,0.7402105921550882,-0.7576949995660031,1.1081131010786331,-0.7913690649695636,2.14693930867854,-0.4660337706099237,-1.3121543586036168,-1.036634088079157,1.8885354426581404,0.6915686524374234,1.2344564918325382
 Neamt,-0.2490337218157223,1.0491236269521222,0.7637020758567796,1.1923992459852757,1.2305963924864654,-0.4637547062914015,-0.9005886711303444,0.43981528593110314,-0.6472063233520928,0.016307124477148154,1.1524309453473585,1.914208029623001,0.7800382698272993,-0.3514129563142491,0.16642959395936432,1.5212204993847291,1.1943390596251469
 Olt,-0.5256300619429718,1.5275786590401192,-0.9115686086741699,-0.936449835394109,-0.9116188511156751,0.09680850296176464,-0.6740775067857416,1.8377054179397376,-0.6981721466602391,1.8122659280570685,0.8831000880314499,0.522968000539483,-0.31843148728558235,-4.751550926255092e-16,-1.1620563498047551,0.5999045143549165,-0.8865001228056523
 Prahova,-0.4895691581635089,-0.5261340844187009,0.14730494566524402,0.8308677936122344,0.8168740769604889,-0.5843428074121124,1.398066952118319,0.11963221215070635,0.6989497029828287,-0.6294613481377176,1.180132735069819,0.7609420765067257,-0.07641478168885857,-4.751550926255092e-16,-1.068908551715699,-0.47467388872566024,-0.46080248108580746
 Salaj,-0.8466614113217776,-0.07490089197829052,0.6736141873212558,-0.7863238138267724,-0.7402907112040735,0.32744735358098365,-0.9243042066310959,0.622426135767043,1.647279227911912,0.3807363719371594,-0.8555507904704824,0.09401860159501267,-1.0817672217362875,-4.751550926255092e-16,0.26614521903945076,0.835213086089612,0.48749550499955147
 Satu Mare,-0.1966530127042225,0.9398475043043535,0.09921862960565152,-0.8906232161854831,-1.046777374006054,0.14507521219919609,-0.45570877739932675,-0.6225158101416055,0.9560469783063607,-0.367514792874783,0.8524609729909248,0.5149313019788667,-0.20475167603860633,-4.751550926255092e-16,-0.2266406586244221,-0.033294353384714655,2.5992633088583923
 Sibiu,0.3127595285143017,-0.5855210240486146,-0.8143468679343652,-0.765630831383799,-0.7389720714022965,-0.5934546591404156,1.1954618170792164,-1.246442385577367,-0.12227974485970294,-1.3859915767763622,1.360304469835123,-0.9762527648177382,-0.7375429261031646,-4.751550926255092e-16,-0.24013344616147,-0.4262391438157906,0.09028638752984977
 Suceava,-0.29788570079591076,-0.11232328957629337,-0.8581902913182768,-0.8713492388868666,-0.8602897774994178,-0.28343584774189134,-0.8149159817534852,0.08572107350665728,-0.07245935234912419,-0.1100099133649798,-1.2352413769674446,-0.9227569475273183,-0.31689588465705454,-1.4961355697723477,0.503140906482143,0.1542921570402613,0.19517401767237055
 Teleorman,0.05940502748081462,1.1897076499893495,0.8724773178249167,-0.6124951064361924,-0.5321531507750169,0.32710110606922965,-1.0613163141480304,3.00460488313126,0.10427205471685067,2.5515190582300504,-0.2041284504460135,0.6234065504023039,0.11502869261737476,-4.751550926255092e-16,-0.6048772229438951,0.3662895052517502,-0.9644733752274566
 Timis,-0.27509335903115784,0.5924336046293279,-0.5512651392161422,-0.958446412779359,-0.8793124345059282,-0.3280911505951037,2.9536464192084786,-1.6277329582514484,-1.5665969047677213,-1.5363517310449675,-0.32560688034774693,-1.3919248647031666,1.0963638547069527,-4.751550926255092e-16,-1.2332721896340069,-1.6021964226126721,1.321255521523121
 Tulcea,0.7788603983810911,0.10075913748228403,2.6292702093367826,-0.017005576377885672,0.06541568314415067,-0.5130658836053733,0.18012906364933173,0.403527464597447,-0.45521254877484896,0.07832892295230971,-0.3621776446631076,0.9121145043055723,-0.42201779407488527,-4.751550926255092e-16,1.136429661156588,1.481226622827296,-0.04560140647092247
 Valcea,-0.013337851827088841,-0.9578665856026932,-1.9189277298750012,-0.7432393855982697,-0.6633539569971427,-0.5823466789024829,-0.5357764678951922,-1.2510735779469297,-1.9630578334264874,0.6173049706813454,-1.809102238246803,-0.29928228509410215,-0.682529365181338,-4.751550926255092e-16,-0.6823803929190039,-0.8730271677043145,-1.5387714379721913
 Vaslui,0.7727597668506333,-0.8047375701148656,0.6001779213983378,-0.48603526582175965,-0.4052517433125361,-0.5877214146138263,-0.5206394565104425,0.0639811865459974,-0.00036813565033655746,0.675111636300424,2.157514344207901,1.723145605297457,-1.1709658762643766,-4.751550926255092e-16,0.5820373889143712,1.938770589878617,0.7930835506500906
 Vrancea,-0.7394552521470223,-0.47538511955229634,-0.409646585658646,0.9631820361855096,0.6927310542879105,5.722688622908236,0.8764316198609439,0.2765611060039495,-1.0698039688143859,-0.7289148254012611,0.030752762499534694,1.3611015332825098,-0.2896142216646205,1.1225281804381215,1.431189302158837,0.731276332425249,0.6246364936354187
