,BoliInfectioase,Tuberculoza,Tumori,BoliEndocrine,Diabet,TulbMentale,SistNervORL,ApCirculator,BoalaIschemica,BoliCerebroVasculare,BRespiratorii,BDigestive,BGenitoUrinar,SarcinaNastere,MalfCongenitale,Accidente,AlteCauze
 Calarasi,-6.935310588738094,-2.09153471002439,-21.87350025714281,37.051892379476186,38.21237251185714,3.4401527977692306,25.455645691904763,72.48358182857146,-59.476895419047565,107.81902187476189,34.9328018097619,-7.346244286666675,9.62952928561905,-2.7755575615628914e-17,0.43958855773809513,-0.7250309792857124,-6.186996251928573
 Caras-Severin,57.27352385126191,4.317295541975611,-9.519363857142821,-5.700838740523814,-4.910067608142857,0.360326214769231,-3.94276754809524,85.33973022857151,-6.784552019047567,48.58799287476191,-3.846831500238096,-24.73890783666667,6.262222405619049,-2.7755575615628914e-17,-0.9464145372619048,-14.702348549285716,13.641285798071426
 Cluj,-8.821368038738095,-2.66641037502439,21.671334842857163,-11.003372269523814,-10.548835617142856,-1.380504624230769,-9.371908578095239,-161.40632117142854,-12.920036819047567,-60.702571525238085,-25.458504360238095,-23.994866586666667,-6.371854254380953,-2.7755575615628914e-17,0.29080920073809513,-25.761477759285714,-2.2124577119285718
 Constanta,-1.9342875287380927,1.0189106619756103,-11.25194905714281,1.1895202194761865,2.350000351857142,-1.7818112862307691,-4.305229158095241,-105.09310067142849,-126.77326141904757,-83.6591058252381,1.2710907197619008,1.1080917633333343,-6.9675622843809535,-2.7755575615628914e-17,-0.4969645072619049,-5.894580399285715,1.3973912180714265
 Covasna,-7.236052128738095,-0.4676226510243904,-6.819394757142817,-1.4374407305238126,-0.7722724781428578,2.2301700587692306,-3.118154208095241,-84.1102589714285,81.63986928095244,-48.1086235252381,-30.042093100238098,-14.799891666666667,12.843268985619048,-2.7755575615628914e-17,-0.19989692226190492,9.752523130714287,-0.6850703419285722
 Dambovita,-14.359228979738095,-1.2460355460243902,0.471936342857191,40.238497629476186,40.58133465185714,-1.205582920230769,-3.1656441480952395,-23.176828571428587,-8.888879719047566,42.02574067476189,-27.944074310238094,-2.0018521966666754,-3.0778309543809534,-0.043328870352941196,-0.2549571112619049,-13.700805049285712,-6.919943741928574
 Dolj,-7.470972728738094,3.89644874897561,-23.88881275714283,-12.942561924523813,-12.263275151142857,0.6595233577692308,2.789490761904762,172.72529262857142,9.786890080952446,158.94322667476192,-1.8407582502380961,3.782670133333326,-7.755912464380952,0.07305592664705882,-0.08185467626190479,-6.315931099285713,-1.0752945819285742
 Galati,-4.569371898738094,5.23488430097561,10.732820642857178,-1.6512490005238138,-0.8892125481428579,-1.6299712812307692,16.504324191904757,-16.702219971428576,107.07892518095241,-70.0116819252381,3.675891169761897,38.57161374333333,2.584341375619047,-2.7755575615628914e-17,-0.09205782526190487,20.958439530714287,4.302831028071427
 Giurgiu,-4.110570168738093,-0.015989789024390078,10.640057042857165,-5.4626325205238135,-6.190398438142857,-1.8499875902307692,8.884905891904761,253.1071334285715,-7.614682719047551,97.6154979747619,-7.220330500238106,8.993476893333323,-13.117969104380952,-2.7755575615628914e-17,0.5800627137380954,3.495296620714285,-10.561003161928573
 Gorj,-16.006044286738096,-3.01340189902439,-10.968690557142821,-0.22120285052381305,0.9392772818571427,-1.5902942622307692,-14.89462754109524,-2.0048441714285445,-5.4305781190475955,117.1305665747619,-23.4763645102381,0.020270863333323064,8.871300345619048,0.07093162164705882,-0.7298187362619049,-4.714051979285713,-11.398109147928574
 Harghita,4.724483951261906,8.881784197001252e-16,-2.120769057142809,-9.506930495523815,-8.677594832142859,0.0,-12.00848099109524,-104.65289257142854,22.691720380952404,-57.41238682523809,-0.5573943102380952,-27.85180393666667,-1.7901073043809532,0.08340482164705884,0.9633232057380952,22.348854030714293,2.5155904580714257
 Hunedoara,-6.965771898738094,5.80974678097561,64.89163884285716,8.605747309476186,8.98072673185714,-1.703969663230769,-0.0026961880952391937,117.57038602857142,96.3653030809524,44.27820967476188,-3.9232878302380954,-1.7226904766666706,-16.768658551380952,-2.7755575615628914e-17,-1.423998973261905,9.426138020714284,-12.670893484928573
 Ialomita,-12.092951650738094,-2.96633539402439,43.21836064285719,-1.5111747005238136,-1.1343322181428572,0.12327613876923094,-2.533896958095241,144.17366962857147,-7.675628619047586,78.6727130747619,-14.974755220238094,-4.005527916666665,-6.466288364380951,-2.7755575615628914e-17,-1.294013718261905,0.5270939907142846,-0.803111061928572
 Iasi,28.219062431261907,-1.0148431730243899,-18.05174925714283,-2.032799080523814,-1.5030586781428568,-1.092305282230769,15.38122690190476,-243.25464927142855,-165.25829671904756,-97.3883703252381,-15.744157850238096,-8.094902096666672,-8.302892144380952,-0.12159170035294117,-0.9289448632619048,6.642041790714288,-2.2153729619285727
 Ilfov,-4.851546788738094,-2.25084607502439,-86.08355185714282,-12.471627869523815,-12.545570860142858,-1.198950863230769,-9.63383633809524,-297.65357417142855,-83.54211841904757,-124.8242861552381,-39.660769500238096,-41.18254396666667,-11.381740894380952,-0.042002459352941196,-0.8628837922619048,-26.406250419285715,-10.949797154928573
 Maramures,-4.353928548738093,-1.22718856602439,-38.98305965714283,-2.6517757805238134,-5.842167349142857,0.3828862187692308,0.369889681904759,-128.7581723714285,10.090837680952404,-32.5833960252381,-11.367856670238098,17.134662443333326,-3.3004879443809507,-2.7755575615628914e-17,0.707146891738095,-8.120562689285713,12.846847918071429
 Mehedinti,-9.446375948738094,2.1528900149756103,-5.4989597571428135,-15.542993590523814,-14.382513458142858,0.0,-19.283894691095238,226.68447842857142,16.489463280952407,52.33919927476191,2.4024267097618974,4.285134543333328,11.660728125619052,-2.7755575615628914e-17,-0.4367173312619048,-5.269335039285714,-0.016390031928573023
 Municipiul Bucuresti,16.734148241261902,-1.70393306402439,0.015134942857173428,-10.239912640523812,-10.717481548142857,-1.572417183230769,-9.97445306809524,-104.93272687142849,-16.110576519047584,-26.02908422523811,-16.176802650238102,-21.78069279666667,-2.8934863943809503,-0.19313801135294117,-0.7576047522619048,-20.937120309285717,-1.8198890519285733
 Mures,0.04723291126190432,-0.43296561702439007,40.09224744285717,3.985536699476185,3.6485288718571436,-1.291706822230769,9.56193563190476,-116.57002657142857,82.22937818095244,-62.869615125238084,51.186515509761904,-10.899135896666664,-16.20142992538095,-0.06055365135294119,1.496329381738095,8.993665740714285,9.385967898071428
 Neamt,-3.836649058738093,2.57257670297561,27.749797942857185,16.835312999476187,17.314156201857138,-1.545999871230769,-11.63367695009524,67.66479862857148,-48.027023119047584,1.2955050747619055,27.475823009761896,44.76760004333333,9.631287115619045,-0.020527337352941183,0.13186593473809505,19.783066570714283,9.080942218071428
 Olt,-8.097931748738095,3.7458057079756095,-33.12266065714283,-13.221600181523813,-12.826229039142858,0.32272649976923073,-8.70763779809524,282.7277064285714,-51.80902691904757,143.9738630747619,21.054538509761898,12.230657233333332,-3.931736684380951,-2.7755575615628914e-17,-0.9207235512619049,7.801598090714286,-6.740344231928573
