,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Greece,-4.085106382978723,0.6542553191489358,-0.5904255319148937,-2.1117021276595747,-19.015957446808514,2.25,14.914893617021276,1.6329787234042554,10.98404255319149,2.973404255319149,-1.0797872340425532,-5.5638297872340425
North Greece,-2.085106382978723,7.154255319148936,-1.0904255319148937,4.388297872340425,-21.515957446808514,0.25,6.914893617021276,1.1329787234042554,10.48404255319149,2.473404255319149,-1.0797872340425532,-5.5638297872340425
Central Greece,-4.085106382978723,-1.8457446808510642,1.4095744680851063,-2.6117021276595747,-23.015957446808514,1.75,10.914893617021276,2.132978723404255,19.48404255319149,3.473404255319149,-1.0797872340425532,-5.5638297872340425
South Greece,-6.085106382978723,0.15425531914893575,-1.0904255319148937,-3.1117021276595747,-14.015957446808514,-0.75,11.414893617021276,-0.36702127659574457,16.98404255319149,2.973404255319149,-1.0797872340425532,-5.5638297872340425
Crete,-3.585106382978723,-1.8457446808510642,-1.0904255319148937,-4.611702127659575,-19.515957446808514,5.25,25.914893617021278,3.632978723404255,0.9840425531914896,2.473404255319149,-0.5797872340425532,-5.5638297872340425
Aegean Islands,-4.585106382978723,-5.845744680851064,0.40957446808510634,-3.6117021276595747,-15.515957446808514,4.25,11.914893617021276,1.6329787234042554,11.98404255319149,4.473404255319149,-1.0797872340425532,-5.5638297872340425
Hungary,0.9148936170212769,7.154255319148936,-0.09042553191489366,15.888297872340425,-16.015957446808514,-0.75,-1.585106382978724,1.6329787234042554,-2.0159574468085104,-1.5265957446808511,-1.0797872340425532,-5.0638297872340425
Iceland,21.414893617021278,-8.845744680851064,1.9095744680851063,9.388297872340425,7.484042553191486,-4.25,-8.085106382978724,-1.3670212765957446,-10.01595744680851,-1.5265957446808511,-0.07978723404255317,-4.5638297872340425
Ireland,-1.585106382978723,-7.845744680851064,2.9095744680851063,-11.111702127659575,46.484042553191486,-3.25,-7.085106382978724,-1.3670212765957446,-8.01595744680851,-1.5265957446808511,-1.0797872340425532,-5.5638297872340425
Italy,-3.085106382978723,-5.845744680851064,0.40957446808510634,-9.611702127659575,4.484042553191486,4.75,7.414893617021276,1.6329787234042554,3.4840425531914896,0.9734042553191489,-1.0797872340425532,-5.5638297872340425
North Italy,-0.5851063829787231,-7.845744680851064,1.4095744680851063,-9.111702127659575,14.984042553191486,3.25,1.914893617021276,0.13297872340425543,0.9840425531914896,0.47340425531914887,-1.0797872340425532,-5.5638297872340425
Tuscany,-3.585106382978723,-7.345744680851064,0.40957446808510634,-9.611702127659575,17.984042553191486,4.75,3.414893617021276,0.6329787234042554,-1.0159574468085104,0.47340425531914887,-1.0797872340425532,-5.5638297872340425
Central Italy,-5.085106382978723,-6.845744680851064,-0.5904255319148937,-10.611702127659575,1.484042553191486,6.75,14.914893617021276,3.632978723404255,1.4840425531914896,1.4734042553191489,-1.0797872340425532,-5.5638297872340425
South Italy,-5.085106382978723,-5.345744680851064,-1.0904255319148937,-10.611702127659575,-7.015957446808514,6.25,13.414893617021276,2.632978723404255,8.48404255319149,0.9734042553191489,-1.0797872340425532,-5.5638297872340425
Sicily,-4.085106382978723,-5.845744680851064,-1.0904255319148937,-9.111702127659575,-8.515957446808514,4.25,14.914893617021276,2.132978723404255,10.48404255319149,2.473404255319149,-0.07978723404255317,-5.5638297872340425
Sardinia,-7.585106382978723,28.654255319148938,-0.09042553191489366,-12.611702127659575,-16.015957446808514,7.75,0.914893617021276,2.632978723404255,-0.5159574468085104,-0.02659574468085113,-1.0797872340425532,-5.5638297872340425
Kosovo,-2.085106382978723,-6.345744680851064,-2.0904255319148937,-9.111702127659575,-13.515957446808514,-4.25,8.414893617021276,-1.3670212765957446,37.484042553191486,-1.5265957446808511,-1.0797872340425532,-5.5638297872340425
Latvia,-1.585106382978723,-7.845744680851064,-1.0904255319148937,26.388297872340424,-22.515957446808514,-4.25,-7.585106382978724,-1.3670212765957446,-9.51595744680851,-1.0265957446808511,-0.5797872340425532,32.43617021276596
Lithuania,-1.585106382978723,-2.8457446808510642,-1.0904255319148937,24.388297872340424,-29.515957446808514,-4.25,-8.085106382978724,-1.3670212765957446,-9.01595744680851,-1.0265957446808511,-0.5797872340425532,36.43617021276596
Macedonia,-4.585106382978723,14.154255319148936,-0.5904255319148937,-0.11170212765957466,-22.015957446808514,-0.25,5.914893617021276,0.6329787234042554,11.48404255319149,-0.02659574468085113,-0.5797872340425532,-5.0638297872340425
