,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
France,0.1058357536459318,-0.4532820605846038,0.7883937391100158,-0.7942404494030683,0.9957623871358449,0.36931019131820825,-0.27886409267999146,0.07486338667263234,-0.3045518456828243,-0.3391027464158901,-0.11379525975331867,-0.3968931000948122
Alsace,0.047995283630131884,-0.6083630931413018,0.5087370920294818,-0.7942404494030683,0.850450422013781,0.5170342678454916,-0.01138220786448952,-0.20662294721646504,-0.0019316184715612262,1.5927553240746353,-0.01565989813119064,-0.3968931000948122
Auvergne,-0.6460903565594671,-0.6083630931413018,-0.33023284921211987,-0.607126158065002,0.7466561612123068,1.4033787270091913,-0.01138220786448952,1.2008087222290218,0.3006886087397018,1.9147316691563894,-0.21193062137544671,-0.3968931000948122
Brittany,0.047995283630131884,-0.6083630931413018,1.3477070332710837,-0.9813547407411345,1.888393030028523,-0.6647583443727748,-0.7469573911071198,-0.4881092811055624,-1.1518884818743609,-0.9830554365793985,-0.21193062137544671,-0.3968931000948122
Corsica,-0.8774522366226668,0.7485959417298051,-0.6098894962926538,-1.0187775990087478,0.6013441960902429,0.9602064974273414,0.7910634465820162,-0.7695956149946598,-0.24402780024057166,-0.6610790914976443,-0.21193062137544671,-0.3968931000948122
Flanders-Artois,0.626399983788131,-0.4920523187237783,-0.6098894962926538,-0.8316633076706815,1.099556647937319,0.5170342678454916,-0.7469573911071198,-0.7695956149946598,0.24016456329744923,-0.9830554365793985,-0.21193062137544671,-0.3968931000948122
Ile-de-France,-0.5882498865436672,-0.5308225768629528,-0.050576202131585944,-0.756817591135455,0.9542446828152552,-0.22158611479092494,-0.21199362147611597,-0.20662294721646504,1.2690733358157436,-0.9830554365793985,-0.21193062137544671,-0.36122584253371054
Midi-Pyrenees,-0.5882498865436672,-0.2982010280279059,0.22908044494894797,-0.7193947328678418,1.099556647937319,-0.07386203826364166,0.05548826333938596,1.482295056118119,-0.3045518456828243,-0.3391027464158901,-0.21193062137544671,-0.3968931000948122
Normandy,-0.06768565640146795,-0.37574154430625484,-0.050576202131585944,-0.9439318824735212,1.7223222127461641,-1.255654650481908,-0.8138278623109952,-0.20662294721646504,-0.6071720728940874,-0.9830554365793985,-0.01565989813119064,-0.3968931000948122
Poitou-Saintonge,-0.7039308265752671,-0.4532820605846038,-1.1692027904537217,-1.0187775990087478,1.6600456562652797,0.9602064974273414,-0.27886409267999146,-0.7695956149946598,-1.0308403909898556,-0.9830554365793985,-0.21193062137544671,-0.3968931000948122
